OperationStep,Man.Item.No,Description,Qty
OP0360,NRE188715,"S/STELL PIPR P-CLIP, 6MM",6
OP0360,IE0123207,TUBE INSERT FOR NYLON 6MM  - 4MM,6
OP0360,218981309,WSHR NORM M6 SS,6
OP0360,218983509,WSHR S-COIL M6 SS,6
OP0360,218231371,SCR CAP HD M6*20 SS,6
OP0370,IE0113652,NW40_50 REDUCING T JOINT,4
OP0370,IE0113026,EXH NW50 SPOOL 1420L,2
OP0370,IE0113297,NW50 SPOOL 620L,2
OP0370,C10516490,NW40 TRAPPED O RING VIT,4
OP0370,C10517501,NW50 CLAMP CU FREE UNIT PACK,10
OP0370,C10517490,NW50 TRAPPED O RING VITON,10
OP0370,C10517366,NW50 BLANKING FANGE S-S,2
OP0370,C10516501,NW40 CLAMP CU FREE UNIT PACK,4
OP0380,IE0113260,FAC WATER RETURN TEE PIPE,1
OP0380,IE0113255,FAC WATER RETURN TEE PIPE,1
OP0380,IE0113299,PCW PIPE ADAPTOR ASSY,2
OP0380,IE0113270,END USER PM WATER PIPE ASSY,2
OP0380,NXR206739,BS4825-4 SEAL TYPE B 2IN,8
OP0380,IE0123298,PCW PLUG ADAPTOR ASSY,2
OP0380,NXR206065,END USER WATER CAP KIT,2
OP0390,IE0113297,NW50 SPOOL 620L,2
OP0390,IE0113028,NW40_50 REDUCING ELBOW,2
OP0390,IE0113109,NW50_40 UNEQUAL TEE,2
OP0390,IE0113652,NW40_50 REDUCING T JOINT,4
OP0390,C10517501,NW50 CLAMP CU FREE UNIT PACK,10
OP0390,C10517490,NW50 TRAPPED O RING VITON,10
OP0390,C10516501,NW40 CLAMP CU FREE UNIT PACK,8
OP0390,C10516490,NW40 TRAPPED O RING VIT,8
OP0400,IE0113270,END USER WATER PIPE ASSY,2
OP0400,IE0113299,PCW PIPE ADAPTOR ASSY,4
OP0400,IE0123300,H-DIST WATER PIPE WMENT,1
OP0400,IE0113107,H-DIST WATER PIPE WMENT,1
OP0400,NXR206739,BS4825-4 SEAL TYPE B 2IN,14
OP0400,IE0123298,PCW PLUG ADAPTOR ASSY,2
OP0400,IE0113260,FAC WATER RETURN TEE PIPE,1
OP0400,IE0113255,FAC WATER RETURN TEE PIPE,1
OP0400,NXR206065,END USER WATER CAP KIT,2
OP0410,IE0113463,UNEQUAL 2 TEE SPOOL ISO100,1
OP0410,IE0113292,UNEQUAL 2 TEE SPOOL ISO100,2
OP0410,IE0113458,UNEQUAL 2 TEE SPOOL ISO100,1
OP0410,IE0113037,SPOOL ISO100,1
OP0410,IE0113469,ISO100 BELLOW ASSY,4
OP0410,B27158171,ISO100 TRAPPED O RING SEAL VIT,10
OP0410,C10009049,ISO100 BLANKING FLANGE,2
OP0410,C10007090,CLAW CLAMP ISO63-ISO250,30
OP0420,IE0113469,ISO100 BELLOW ASSY,2
OP0420,IE0113878,ISO100 STRAIGHT SPOOL 247MM,1
OP0420,IE0113879,ISO100 STRAIGHT SPOOL 381MM,1
OP0420,IE0113463,UNEQUAL 2 TEE SPOOL ISO100,1
OP0420,IE0113292,UNEQUAL 2 TEE SPOOL ISO100,1
OP0420,C10009049,ISO100 BLANKING FLANGE,2
OP0420,C10007090,CLAW CLAMP ISO63-ISO250,18
OP0420,B27158171,ISO100 TRAPPED O RING SEAL VIT,8
OP0420,218983510,WSHR S-COIL M8 SS,16
OP0420,218981310,WSHR NORM M8 SS,16
OP0420,218615119,SCR HX HD M8*30 SS,16
OP0430,NXR234677,NW40 3 WAY VALVE ADAPTOR BRKT,6
OP0430,E08821298,SWIVEL ELBOW 4MM - 1/4BSPP,6
OP0430,E08821205,SWIVEL ELBOW 6MM - 1/4BSPP,6
OP0430,NRY573250,"KIT, STANDARD RBV SPARE",6
OP0430,Y35201498,VPI SENSOR ASSY,6
OP0430,A28710006,CONFUGURABLE MULTI SENSOR PUCK,6
OP0430,A28710016,PUCK INSERT YELLOW,6
OP0440,IE0113634,NW40 3W VLV WELD SPL WITH NW16,6
OP0440,NKB902680,PIPE WELVMENT ASSY 85MM LG,6
OP0440,218091417,SCR CAP HD M8*50 SS,24
OP0440,218231411,SCR CAP HD M8*20 SS,24
OP0450,IE0113022,VALVE LINK PIPE ¼ IN 208LG,6
OP0450,IE0123185,BALL VALVE ¼,6
OP0450,IE0123172,PLUG FOR PORT ¼ TUBE,6
OP0450,IE0113019,EXP 3WAY LOTO VLV WELD SPOOL C,6
OP0450,IE0113023,NW40 BRAIDED BELLOWS 250MM,12
OP0450,IE0113020,EXP EXH BYPASS SPOOL NW40-B,6
OP0450,C10516490,NW40 TRAPPED O RING VIT,18
OP0450,C10516501,NW40 CLAMP CU FREE UNIT PACK,18
