OperationStep,Ref.,Man.Item.No,Description,Qty
OP0290,0200,A41248150,LV stage Rotor 500NR,1
OP0310,0160,,,0160
OP0330,0070,H02134011,ORING VIT9830 255.5ID X 4.0SEC.100C,1
OP0330,0070,H02134013,ORING VIT9830 371.5ID X 4.0SEC.150C,1
OP0330,,H02137011,ORING FFKM TSS J8290 252.0ID X 3.88SEC,1
OP0330,,H02137011,ORING FFKM TSS J8290 252.0ID X 3.88SEC,1
OP0340,0260,A41602923,LV Head plate-Plated XD 200HP,1
OP0340,0260,A41602923,LV Head plate-Plated XD 300LP,1
OP0340,0260,A41615923,LV Head plate-Plated XD 500HP,1
OP0340,0260,A41672923,LV HEADPLATE-PLATING XD 200HP S XD+,1
OP0350,0090,218092453,"SCR CAP HT ENP M10X30LG G12.9, 100C",8
OP0350,0090,218092453,SCR CAP HT ENP M10X30LG G12.9. 150C,12
OP0360,,H03517004,"1/8""BSP T PRESSURE PLUG. 100C",8
OP0360,,H03517004,"1/8""BSP T PRESSURE PLUG. 150C",9
OP0360,,H03517004,"1/8""BSP T PRESSURE PLUG. 500H",12
OP0380,0270,H02134023,ORING VIT9830 85.0ID X 3.5SEC.100C,2
OP0380,1410,H02134025,ORING VIT9830 110.0ID X 3.5SEC.150C,2
OP0380,1070,A24803004,MAGNET - 14MM DIA X 5MM LG.150C,6
OP0380,0850,A24803004,MAGNET - 14MM DIA X 5MM LG. 100C,6
OP0390,0320,A41205060,DYNAMIC SEAL ASSY. 150C,2
OP0390,0320,A41201060,DYNAMIC SEAL ASSY. 100C,2
OP0410,0340,H02134004,ORING VIT9830 67.5IDX2.75SEC.100C,2
OP0410,0340,H02134004,ORING VIT9830 67.5IDX2.75SEC.150C,2
OP0410,0355,A41200066,SEAL OIL CATCHER. 100/150C,2
OP0440,0620,A41200065,U SECTION THROWER                    100C,2
OP0440,0330,A41204071,U SECTION THROWER                    150C,2
OP0450,0325,H02134015,ORING VIT9830  36.6ID X 4.0SEC. 100C,2
OP0450,1420,H02134016,ORING VIT9830  45.1ID X 3.0SEC. 150C,2
OP0470,0350,A20403081,S-ROW BALL BRG 85X36.5X.  100C,2
OP0470,0350,A20403083,S-ROW BALL BRG 110X45X9. 150C,2
OP0490,0670,A41200049,HV THROWER SPACER.                  100C,2
OP0490,0370,A41204049,OIL THROWER SPACER.                 150C,2
OP0500,0360,A41201055,AXIAL SET RING.  100C  _ OLD,2
OP0500,0360,A30353055,AXIAL SET RING.  150C _ OLD,2
OP0500,New,A41201067,AXIAL SET RING - 100 CRS 30DEG,2
OP0500,New,A30353067,AXIAL SET RING-150CRS 30 DEG,2
OP0510,0400,A41200345,"OIL THROWER ASSY, THREADED.100C",1
OP0510,0400,A41204045,"OIL THROWER ASSY, THREADED.150C",1
OP0520,0680,"A41200344
",OIL THROWER ASSY – PLAIN.     100C,1
OP0520,0410,A41204044,OIL THROWER ASSY – PLAIN.     150C,1
OP0530,0480,A24301066,KEY - 8 X 10 X 18 LG.                      100C,1
OP0530,0480,A24301068,KEY 12 X 8 X 25 LG.                         150C,1
OP0540,0430,,X GEAR.                               100C,1
OP0540,0430,,X GEAR.                               150C,1
OP0550,0880,218091495,SCREW CAP HT M12 X 40 LG.          100C,1
OP0550,0870,218984943,DISC SPRING 29OD x 13ID x3.          100C,1
OP0550,0880,218091495,SCREW CAP HT M12X 40 LG.           150C,1
OP0550,0870,218984943,DISC SPRING 29OD x 13ID x3.         150C,1
