OperationStep,Ref.,Man.Item.No,Description,Qty
S,100C,A41201057,AXIAL SETRING LOCKINGPLAT.        100C,2
S,0890,A41205057,AXIAL SETRING LOKING PLATE.       150C,2
S,0895,218436290,Scr btn hd hex soc np M5 x 10.100/150C,2
S,0910,H02134002,ORING VIT9830  19.6ID X 2.4SEC.         100C,1
S,0750,A41200711,CHECK VALVE ASSY PK.10.       100/150C,1
S,0760,211910004,INT CIRCLIP 27.9 O:D X 1.2 THK.   100C,1
S,0740,A22305001,COILED MIST FILTER.                     100C,1
S,0970,211910003,INT CIRCLIP 29.1 O:D X 1.2 THK100/150C,1
S,0950,A22305001,COILED MIST FILTER.                   150C,1
S,0760,211910003,INT CIRCLIP 27.9 0:D X 1.2 THK.   150C,1
S,1090,H02134011,ORING VIT9830 255.5ID X 4.0SEC. 100C,1
S,0860,H02134013,ORING VIT9830 371.5ID X 4.0SEC. 150C,1
S,0800,A25976001,SIGHT GLASS REFLECTOR.      100/150C,1
S,0810,A27820008,COMPRESSION RING.                 100/150C,1
S,0780,H02134007,O RING 31.34 ID X 3.53 SEC.             100C,1
S,0990,H02134007,O RING 31.34 ID X 3.53 SEC.             150C,1
S,0820,A29201004,SIGHT GLASS.                             100/150C,1
S,1010,A41201024,GEAR COVER,1
S,150C,A41206024,GEAR COVER                                150 CRS,1
S,0780,H02134007,O RING 31.34 ID X 3.53 SEC.   100C,1
S,0990,H02134007,O RING 31.34 ID X 3.53 SEC.   150C,1
S,0830,A20416007,SIGHT GLASS BEZEL.             100C,1
S,1050,A20416012,SIGHT GLASS BEZEL.             150C,1
S,1060,218436290,M5 X 10 SCR BTN HD.      100/150C,4
S,0924,H02134018,ORING VIT9830.                                100C  ,1
S,1390,H02134003,ORING VIT9830  61.51ID X 2.4 SEC 150C,1
S,0980,A41201042,LV COOLING ASSY.                          100C,1
S,0980,A41206042,LV COOLING ASSY.                          150C,1
S,,A41201048,NB-LV COOLING ASSY,1
S,,A41206043,NB-LV COOLING ASSY,1
S,0926,218092330,SCR CAP HT NI M 5.X16LG.             100C,4
S,0985,218092330,SCR CAP HT NI M 5.X16LG.             150C,4
S,0090,218092453,SCR CAP HTENP.M10X30LG         100C,7
S,0090,218092453,SCR CAP HT ENP.M10X30LG        150C,11
S,,,GEAR COVER ASSY.   100C,1
S,,,GEAR COVER ASSY.   150C,1
S,1220,A41200051,COUPLING – MOTOR. 100/150C,1
S,1210,H02134017,O RING VIT9830 212.0ID X.  100C,1
S,1210,H02134017,O RING VIT9830 212.0ID X   150C,1
S,0090,218092453,SCR CAP HT NI M10.X 30LG.   100/150C,8
S,1130,A26002063,3/8” BSP PLUG HEX DRIVE.  1OO,1
S,1100,H02134001,ORING VIT9830  19.5ID X 3.0SEC.  100C,1
S,1100,H02134001,O RING VIT9830 19.5ID X 3.0 SEC   150C,1
S,1100,H02134001,ORING VIT9830 19.5ID X 3.0.      100C,3
S,1130,A26002063,"3/8""BSP PLUG HEX DRIVE.          100/150C",3
S,,A20001085,DIRECTION LABEL,1
